id,url,slug,product_name,full_description,session_location_name,start_time,end_time,duration_hr:min:sec,date,product_type,topic,speaker_count,id_1,first_name_1,last_name_1,url_1,title_1,company_1,image_url_1,social_url_linkedin_1,social_url_twitter_1,biography_1,session_ids_1,session_dates_1,session_times_1,session_product_types_1,id_2,first_name_2,last_name_2,url_2,title_2,company_2,image_url_2,social_url_linkedin_2,social_url_twitter_2,biography_2,session_ids_2,session_dates_2,session_times_2,session_product_types_2,id_3,first_name_3,last_name_3,url_3,title_3,company_3,image_url_3,social_url_linkedin_3,social_url_twitter_3,biography_3,session_ids_3,session_dates_3,session_times_3,session_product_types_3,id_4,first_name_4,last_name_4,url_4,title_4,company_4,image_url_4,social_url_linkedin_4,social_url_twitter_4,biography_4,session_ids_4,session_dates_4,session_times_4,session_product_types_4,id_5,first_name_5,last_name_5,url_5,title_5,company_5,image_url_5,social_url_linkedin_5,social_url_twitter_5,biography_5,session_ids_5,session_dates_5,session_times_5,session_product_types_5
2089464,https://identiverse.com/idv24/session/2089464/,navigating-identiverse-a-newcomer-s-guide,Navigating Identiverse: A Newcomer's Guide,"Welcome to Identiverse 2024! Join Allan Foster and Heather Flanagan, both known for their industry expertise and dynamic roles within the digital identity landscape. Whether you're stepping into the Identiverse for the first time or returning for another insightful experience, this session is designed to set the stage for this year's conference. Allan and Heather will provide you with an insider's look at navigating the conference's opportunities, highlighting key themes, must-see talks, and networking strategies. This session will equip both new attendees and seasoned veterans with the knowledge and tools to maximize their conference experience, leaving you inspired, informed, and connected. Join us to discover how to make the most of your time at Identiverse, forging valuable connections and gaining insights that will last long after the conference concludes.",Joshua 1,12:00 PM,12:45 PM,0:45:00,"Tuesday, May 28",Masterclass,,2,1080498,Allan,Foster,https://identiverse.com/idv24/speaker/1080498/,Founder,ForgeRock,https://assets.swoogo.com/uploads/medium/3511210-65c125c5ca9fb.jpeg,,,"Allan Foster has been involved in the identity industry for most of his career. Allan is equally comfortable discussing the complexities of assembly code with engineers, or the business impacts of technology to senior executives. With companies like Apple, neXt, Intel, Microsoft, Netscape, AOL, Sun Microsystems and others scattered thru his resume, Allan spent the last twelve years as a founder in ForgeRock. Active in many parts of the business, culminating in the 2021 listing of FORG on the NYSE. Over this time, Allan has been active in the Identity Community, serving on boards in organizations like the Kantara Initiative, DIACC, IDPro as well as working on multiple standards across the industry. Although he has now stepped back from day to day operations (and enjoying his retirement), he is still an active participant in the Identity ecosystem.",2089464 & 2089512,"Tuesday, May 28 & Wednesday, May 29",12:00 pm - 12:45 pm & 2:00 pm - 2:25 pm,Masterclass & Session,1123593,Heather,Flanagan,https://identiverse.com/idv24/speaker/1123593/,Chief of Staff,Spherical Cow Consulting,https://assets.swoogo.com/uploads/full/3662156-65ef021faadff.jpg,https://www.linkedin.com/in/hlflanagan/,https://twitter.com/sphcow,"Heather Flanagan, Principal at Spherical Cow Consulting and Founder of The Writer's Comfort Zone, comes from a position that the Internet is led by people, powered by words, and inspired by technology. She has been involved in leadership roles with some of the most technical, volunteer-driven organizations on the Internet, including IDPro as Principal Editor and the IETF, the IAB, and the IRTF as RFC Series Editor. In any given day, she will be continuing her efforts to translate geek to human, entertain her cats, and make the Internet better one document at a time.",2089464,"Tuesday, May 28",12:00 pm - 12:45 pm,Masterclass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089498,https://identiverse.com/idv24/session/2089466/,fundamentals-of-passkeys,Fundamentals of Passkeys,"Join the FIDO Alliance for a two-part masterclass on the fundamentals of passkeys. Masterclass 1: Business Fundamentals of Passkeys Overview: Join the FIDO Alliance for a masterclass on the fundamentals of passkeys from the business perspective. Learn how passkeys can not only increase your security posture, but can lower costs and increase user satisfaction and revenues. This masterclass will cover: -Introduction to passkeys -The cost and security challenges with legacy authentication methods -How passkeys mitigate these challenges and how they provide phishing-resistant, faster, and more successful sign-ins -The business benefits passkeys can provide: attendees will hear mini case studies from two organizations that have rolled out passkeys to their consumer customers, and the tangible business outcomes they are experiencing Masterclass 2: Tech Fundamentals of Passkeys Building on the insights gained in the business fundamentals masterclass, join the FIDO Alliance for this second session focusing on the FIDO technology behind passkeys and implementation best practices. This session will cover: -FIDO tech 101 -Passkey options for various use cases -Practical guidance on integrating passkeys into existing authentication systems. -Importance of and basic guidelines for UX -Common pitfalls and frequently asked questions Attendees will come away from these masterclasses with a solid foundation of passkeys to inform the rest of their Identiverse experience.",Mariposa 8,1:00 PM,1:50 PM,0:50:00,"Tuesday, May 28",Masterclass,,1,1099741,Megan,Shamas,https://identiverse.com/idv24/speaker/1099741/,Senior Director of Marketing,FIDO Alliance,https://assets.swoogo.com/uploads/full/2445382-64122ead69669.jpg,https://www.linkedin.com/in/megan-shamas-127b046/,,"Megan Shamas is the senior director of marketing for the FIDO Alliance, the multi-stakeholder organization standardizing simpler, stronger authentication to reduce global password usage. In this role, she leads all global communications and market education initiatives around FIDO Authentication and passkeys. Megan has deep expertise in and passion around introducing and gaining broad adoption of new standards and technologies, having spent the last 20 years leading PR, marketing and branding for several global multi-stakeholder organizations.",2089466 & 2089498,"Tuesday, May 28 & Wednesday, May 29",1:00 pm - 1:50 pm & 11:05 am - 11:30 am,Masterclass & Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089469,https://identiverse.com/idv24/session/2089469/,attack-path-management-101,Attack Path Management 101,"Attack path mapping and management knowledge is perceived to be kept within elite red team circles. Much of the available tooling used is not always easily understood and can be aggressively flagged as malicious by enterprise EDR. Yet, in a world in which cybersecurity attacks hinge on identity, it’s more critical than ever that defenders are empowered to proactively identify and address attack paths in their organization. In this session, we’ll look at the principles of attack paths and attack path management, as well as how to apply them in real-world scenarios of gathering and analyzing attack paths in Active Directory and Entra ID – paths that could lead to privileged identity escalation and compromise. We’ll also talk about the process organizations should take to remediate the identified paths, helping reduce their identity attack surface. Driven by live demonstrations, this session will give participants the confidence to perform attack path management in their environments. While focused on Active Directory and Entra ID, much of the theory and principles discussed can translate to any identity system.",Joshua 3,1:00 PM,1:50 PM,0:50:00,"Tuesday, May 28",Masterclass,,1,1080552,Eric,Woodruff,https://identiverse.com/idv24/speaker/1080552/,Product Technical Specialist,Semperis,https://assets.swoogo.com/uploads/full/3511378-65c12b9a991fc.jpg,https://www.linkedin.com/in/ericonidentity/,,"Throughout his 23-year career in the IT field, Eric has sought out and held a diverse range of roles, including technical manager in the public sector, Sr. Premier Field Engineer at Microsoft, and Security and Identity Architect in the Microsoft Partner Ecosystem. Currently he serves as a Product Technical Specialist at Semperis, focusing on ITDR and cloud identity resilience. Eric is a Microsoft MVP for security, recognized for his expertise in the Microsoft identity ecosystem. Outside of work, Eric supports the professional community, providing his insights and expertise at conferences, participating on the IDPro Body of Knowledge Committee, and blogging about Entra and related cloud security topics.",2089469,"Tuesday, May 28",1:00 pm - 1:50 pm,Masterclass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089467,https://identiverse.com/idv24/session/2089467/,data-sharing-using-verifiable-credentials-in-the-agricultural-sector,Data Sharing Using Verifiable Credentials in the Agricultural Sector,"The agricultural sector faces new challenges. Consumers now expect that food they eat is good for them and good for the environment. Fear of climate change is driving more regulation and data compliance requirements. There are new global standards of data verification requiring agriculture to conform to these standards for international export. The Verifiable Data sharing project described in this presentation involves a network of farmers and industry/government partners across the whole supply-chain exchanging regulated data. This presentation describes the technical project implementation details, key technical decisions and key learnings: �Why was a decentralized approach selected for data sharing? �Why were Decentralized Identity based Verifiable Credentials chosen? �Why was a ledger based solution chosen for the network’s trust layer? �How did the project decide on the Verifiable Credential format? �How did the project decide on the Verifiable Credential issuer/presentation protocols? �How were the Issuers and Verifiers and their credentials trusted on the network? What governance approach was chosen and why? �Why did the project initial select a mobile DI Wallet? �What was the deployment model/architecture for Issuers, Verifiers and the Wallets? �What problems were encountered during the deployment?",Joshua 5,1:00 PM,1:50 PM,0:50:00,"Tuesday, May 28",Masterclass,,1,1080474,Paul,Ashley,https://identiverse.com/idv24/speaker/1080474/,Chief Technology Officer (Product & Development),Anonyome Labs,https://assets.swoogo.com/uploads/full/3511105-65c122f02026f.png,https://www.linkedin.com/in/drpaulashley/,https://twitter.com/sudo_dr,"Dr Paul Ashley is CTO at Anonyome Labs. The company brings technology to everyday users that allow them to interact online and offline in safety, privacy and control.  Paul’s responsibilities at Anonyome Labs includes product development, emerging technologies, standards and IP protection (patents). Paul has worked extensively in software product development for more than 30 years, providing technical leadership across a range of security, privacy and identity products. Paul is a regular industry speaker, has written numerous articles, and has 37 patents granted.",2089467,"Tuesday, May 28",1:00 pm - 1:50 pm,Masterclass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089490,https://identiverse.com/idv24/session/2089470/,introduction-to-privacy,Introduction to Privacy,"Identity and privacy are inextricably intertwined; strong identity supports privacy protection by mitigating risks of unauthorized access to personal data. At the same time, the activities involved in establishing strong identity involve the processing of individuals' information and can therefore create privacy risks. This masterclass session provides attendees with essential privacy basics including an overview of why privacy matters particularly in identity as well as fundamentals such as definitions of personal data, an overview of the global regulatory landscape, privacy principles and values in action replete with practical examples from our presenters' collective industry and government experience. We’ll also highlight privacy themes stemming from hot topics such as age verification, facial recognition, and artificial intelligence. Practical privacy tools from National Institute of Standards and Technology (NIST) Digital Identity Guidelines and Privacy Framework will be covered.",Joshua 1,1:00 PM,1:50 PM,0:50:00,"Tuesday, May 28",Masterclass,,1,1080488,Jamie,Danker,https://identiverse.com/idv24/speaker/1080488/,"Senior Director, Cybersecurity and Privacy Services",Venable LLP,https://assets.swoogo.com/uploads/full/3511186-65c124e2b0164.jpg,https://www.linkedin.com/in/jamie-danker-8ba3a1a/,,"Jamie Danker brings deep privacy, identity, and cybersecurity knowledge along with diverse perspectives from oversight, operational, and guidance organizations based on her prior roles in government and industry. She supported the National Institute of Standards and Technology  in developing the Privacy Framework and is co-author of privacy requirements and considerations in SP 800-63-3 Digital Identity Guidelines. She spent 10 years at the Department of Homeland Security in various privacy roles, advocating for privacy.",2089470 & 2089490,"Tuesday, May 28 & Wednesday, May 29",1:00 pm - 1:50 pm & 10:30 am - 10:55 am,Masterclass & Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089523,https://identiverse.com/idv24/session/2089472/,oix-workshop,OIX Workshop,"This workshop will explore the progress OIX is making on areas including: �Global Interoperability: How we have discovered the DNA of digital ID and how we are creating tools that allow trust frameworks, wallets, issuers and relying parties to express their policy criteria to enable cross framework interoperability. �Frameworks for Wallets: How do trust frameworks trusted credentials delivered through wallets. What roles will Agents play in helping assess, gather, derive, and present what credentials as user requires to meet a particular use case need? �Commercial Models: What are the successful commercial models for Digital ID ecosystems today. How do we see these commercial models evolving in the new world of Wallets. �Governments and Wallets: Are governments best placed to be wallet providers? Or should they leave this to the private sector? �Acceptor readiness: Are relying parties ready for Digital ID? Or are they confused about what Digital ID is and its benefits? During the course of the workshop, we will solicit input on key focus areas through discussion topics, including: �Challenges for Interoperability of IDs across borders �Wallets Vs Agents �Why become an Issuer? �Acceptor Opportunities and Blockers",Joshua 6,1:00 PM,1:50 PM,0:50:00,"Tuesday, May 28",Masterclass,,1,1099748,Nick,Mothershaw,https://identiverse.com/idv24/speaker/1099748/,Chief Identity Strategist,Open Identity Exchange,https://assets.swoogo.com/uploads/full/2417778-640754727aa0b.jpg,,,"Nick is Chief Identity Strategist at the Open Identity Exchange, a community for all those involved in the ID sector to connect and collaborate. Through OIX’s definition of, and education on, Trust Frameworks we create the rules, tools, and confidence to provide every individual a trusted, universally accepted, identity that will interoperate across the globe.

Nick has expert knowledge of Identity and Fraud solutions and standards across a wide variety of different sectors and jurisdictions.",2089472 & 2089523,"Tuesday, May 28 & Wednesday, May 29",1:00 pm - 1:50 pm & 2:35 pm - 3:00 pm,Masterclass & Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089478,https://identiverse.com/idv24/session/2089478/,confidential-computing-the-internet-s-missing-cryptography-engine,Confidential Computing: The Internet’s missing cryptography engine,"Cryptography is at the heart of digital identity and cybersecurity. Indeed, so much � digital identity management” boils down to key management. In almost every modern application we need to bind public keys to humans and non-human entities, and we need assurance that private keys and secret symmetric keys are under the proper control of those entities. We also need evidence of the quality of all those keys and the cryptographic software that uses them. The emerging field of Confidential Computing (CC) helps address these critical issues at the infrastructure layer. CC makes hardware-backed cryptographic security available to all applications and workloads, thanks to � Trusted Execution Environments”, or TEEs – literally, digital identity engines. Remote attestation services provide assurance of hardware and software integrity in every TEE. This panel of CC leaders will traverse the practical issues of CC and digital identity management, and show how CC is going to become essential for authentication and data protection for all digital entities, applications, and workloads. Topics covered include: �What is Confidential Computing? �Where are Trusted Execution Environments used today? �How are access privileges separated out in Confidential Computing? �How can Confidential Computing help with digital wallets and verifiable credentials?",Joshua 10,1:00 PM,1:50 PM,0:50:00,"Tuesday, May 28",Panel,,4,1080551,Stephen,Wilson,https://identiverse.com/idv24/speaker/1080551/,Founder & Principal,Lockstep,https://assets.swoogo.com/uploads/full/3511369-65c12b31e3a6c.jpg,https://www.linkedin.com/in/lockstep,https://twitter.com/steve_lockstep,"Steve is an innovator, researcher, analyst and advisor in data protection, with 28 years' experience in digital identity. A popular Identiverse alumni speaker, Steve brings his passion for global data trends and hands-on global experience of digital identity to challenge current thinking and the status quo. He says ""Digital identity boilds down to data. Data is all we got.""",2089478 & 2089562 & 2089619,"Tuesday, May 28 & Thursday, May 30 & Thursday, May 30",1:00 pm - 1:50 pm & 10:30 am - 11:20 am & 5:10 pm - 5:35 pm,Panel & Panel & Session,1099752,Mike,Bursell,https://identiverse.com/idv24/speaker/1099752/,Executive Director,Confidential Computing Consortium,https://assets.swoogo.com/uploads/full/3563708-65ce4c87429f3.jpg,https://www.linkedin.com/in/manufontaine,https://twitter.com/hushmesh,"Mike Bursell is the Executive Director of the Confidential Computing Consortium. He is one of the co-founders of the Enarx project (https://enarx.dev), and was CEO and co-founder of Profian, a start-up based on Enarx.  He has previously served on the Governing Boards of the CCC and the Bytecode Alliance and currently holds advisory board roles with various start-ups.  Previous companies include Red Hat, Intel and Citrix, with roles in security, virtualisation and networking. After training in software engineering, he specialised in distributed systems and security. He regularly speaks at industry events in Europe, North America and APAC.

Professional interests include: Confidential Computing, WebAssembly, Linux, trust, open source software, security, distributed systems, blockchain, virtualisation.

Mike has an MA from the University of Cambridge and an MBA from the Open University, and is author of ""Trust in Computer Systems and the Cloud"", published by Wiley.",2089478,"Tuesday, May 28",1:00 pm - 1:50 pm,Panel,1099754,Manu,Fontaine,https://identiverse.com/idv24/speaker/1099754/,Founder and CEO,Hushmesh Inc.,https://assets.swoogo.com/uploads/medium/1612886-6217e30c81fee.jpeg,,,"Manu Fontaine is the Founder and CEO of Hushmesh, a dual-use Public Benefit cybersecurity startup in the Washington DC area. The company believes that people, companies, and democracies need safe and authentic data, just like they need clean water and stable electricity. To achieve this, Hushmesh leverages Confidential Computing to automate decentralized, pairwise, and end-to-end cryptographic security, at the person and non-person entity level, at global scale. Secured by the Universal Name System (UNS) and the Universal Certificate Authority (UCA), the Mesh provides global assurance of code and data provenance, integrity, authenticity, confidentiality, and privacy for all entities. Manu is also a General Member Representative on the Governing Board of the Confidential Computing Consortium.",2089478,"Tuesday, May 28",1:00 pm - 1:50 pm,Panel,1134834,Mark,Bower,https://identiverse.com/idv24/speaker/1134834/,"VP, Product Management & Market Development",Anjuna Security,https://assets.swoogo.com/uploads/medium/3650929-65e9d9697de78.jpg,,,"Mark Bower has over two decades of experience at leading security companies in the U.S., Australia,  U.K., and EU. He is a noted expert in data protection, data privacy, and information risk reduction. Before joining Anjuna, where he owns product strategy for advanced confidential computing, he headed product and business strategy for Voltage Security (acquired by HPE) and the Atalla HSM business at Hewlett Packard Enterprise. He most recently led product management for Amazon’s Payment Cryptograph business. Mark has contributed to new security standards and guidance development with NIST, ETSI, MULTOS, and the PCI Security Standards Council, and is Co-chair of the Cloud Security Alliance Confidential Computing Working Group.",2089478,"Tuesday, May 28",1:00 pm - 1:50 pm,Panel,,,,,,,,,,,,,,
2089474,https://identiverse.com/idv24/session/2089474/,global-trends-2024-strategy-openid-foundation-board-insights,Global Trends & 2024 Strategy: OpenID Foundation Board Insights,"In this panel the Board of the OpenID Foundation will discuss global trends, and the OpenID Foundation’s strategy to support digital identity infrastructure - the � engine” of the digital age. Themes will include national and cross border deployments of digital identity, open finance and open data, shared signals, collaboration across standards bodies, and public/private sector alignment in 2024 and beyond. The OpenID Foundations role is progressively important as digital identity shifts from deployments between an entity and individual customers and vendors, to cloud based and federated ecosystems that provide critical critical national infrastructure. The OpenID Foundation is one key forums to bring together global experts to not only develop standards but to help the global community achieve its goals.",Joshua 8,1:00 PM,1:50 PM,0:50:00,"Tuesday, May 28",Panel,,4,1080479,John,Bradley,https://identiverse.com/idv24/speaker/1080479/,Distinguished Architect,Yubico,https://assets.swoogo.com/uploads/full/3511151-65c12409d81c1.png,https://www.linkedin.com/in/ve7jtb/,https://twitter.com/ve7jtb,"John Bradley was co-author of OpenID Connect and JSON Web Token. He is an editor of the FIDO Alliance's Client to Authenticator (CTAP) specification, a contributor to the Web Authentication specification, and has been involved with FIDO for the last 5 years. He is a chair of the IETF JOSE working group. He has contributed to several prior protocol specification efforts, including OAuth, Token Binding, InfoCard, SAML, and Kantara, both as a specification editor and as a working group (co-)chair.  He is currently a Distinguished Architect at Yubico.",2089465 & 2089474 & 2089592,"Tuesday, May 28 & Tuesday, May 28 & Thursday, May 30",2:00 pm - 2:50 pm & 1:00 pm - 1:50 pm & 3:10 pm - 3:35 pm,Panel & Panel & Session,1099793,Gail,Hodges,https://identiverse.com/idv24/speaker/1099793/,Executive Director,OpenID Foundation,https://assets.swoogo.com/uploads/full/2417756-640753c044467.jpg,https://www.linkedin.com/in/gail-hodges-26b1b9,https://twitter.com/gailhodges,"Gail Hodges is the Executive Director of the OpenID Foundation. The OpenID Foundation is a non-profit global standards body that seeks to help people assert their identity wherever they choose by leading the global community in creating identity standards that are secure, interoperable, and privacy preserving. The Foundation’s standards are used by billions of people across millions of applications to enable user logins, enterprise login, open banking, open data, send risk signals, and enable interoperability between implementations. Gail is also acting as Special Advisor on Identity Technologies to the California Department of Motor Vehicle Administrators. Gail previously worked at Apple, HSBC, American Express and Bank of America in roles leading the development and deployment of identity and financial service products and services. She has an MBA from Harvard and a B.A. from Princeton.",2089465 & 2089474 & 2102866,"Tuesday, May 28 & Tuesday, May 28 & Wednesday, May 29",2:00 pm - 2:50 pm & 1:00 pm - 1:50 pm & 11:40 am - 12:30 pm,Panel & Panel & Masterclass,1113526,Nat,Sakimura,https://identiverse.com/idv24/speaker/1113526/,Chairman,OpenID Foundation,https://assets.swoogo.com/uploads/full/3599796-65d8b7839f444.jpg,https://www.linkedin.com/in/nancycamwinget/,https://twitter.com/CamWinget,"In addition to his work as Chairman of the OpenID Foundation, and Co-Chair of several Foundation Working Groups, he helps communities to organize themselves to realize the ideas around identity and privacy. He is author of widely used standards including JWT (RFC7519), JWS (RFC7515), OAuth PKCE (RFC7636) and OpenID Connect and his current projects include FAPI, ISO/IEC 29184 Online privacy notice and consent, ISO/IEC 27551 Unlinkable Attribute-based entity authentication, OAuth JAR, RAR, and mTLS.  He also serves the Japanese government in several committees including the Personal Data Working Group, and as head of delegates for the Japanese National Body to ISO/IEC JTC 1/SC 27/WG 5 on Identity management and privacy technologies. He is also a founding board member of Kantara Initiative.",2089474,"Tuesday, May 28",1:00 pm - 1:50 pm,Panel,1113527,Nancy,Cam-Winget,https://identiverse.com/idv24/speaker/1113527/,Cisco Fellow,Cisco,https://assets.swoogo.com/uploads/medium/3599802-65d8b7ea571cd.png,,,"Nancy Cam-Winget is a Cisco Fellow in the Cisco Security Business Group Chief Strategy Office. In her current role, she is heavily involved with product and technology strategy, research and standards. 

Nancy is currently focused on Zero Trust, Continuous Trusted Access and IoT and has a proven track record of taking ideas and turning them into award winning products and standards based technologies. Nancy has over 20 years of experience in the network security industry and authentication protocols. She is involved in several standards forums such as IEEE, and IETF. Nancy is a board member for the OpenID Foundation. In the IETF, she is a member of the Security and IoT directorates and chairs several security focused working groups.",2089474,"Tuesday, May 28",1:00 pm - 1:50 pm,Panel,,,,,,,,,,,,,,
2089468,https://identiverse.com/idv24/session/2089468/,2024-trends-in-securing-digital-identities,2024 Trends in Securing Digital Identities,"With identity-related breaches a continuous threat, the business impact of handling identity correctly has never been more clear. Of organizations surveyed in 2023, 90% reported an identity-related breach. With the increasing number of identities and attackers reinventing their playbooks, enterprises are under pressure to ensure that all identities (human and non-human) are protected.",Mariposa 3,1:00 PM,1:50 PM,0:50:00,"Tuesday, May 28",Panel,,3,1080539,Tom,Sheffield,https://identiverse.com/idv24/speaker/1080539/,"Sr Director, Cybersecurity",Target Corporation,https://assets.swoogo.com/uploads/full/3511335-65c129ded3440.jpg,https://www.linkedin.com/in/tom-sheffield/,https://twitter.com/bucksinct,"A seasoned IT leader, Tom has spent most of the last 20+ years leading Enterprise IAM initiatives and teams for large, multinational businesses. He has deep experience in all aspects of IAM and enjoys the challenge of delivering business value through technology and innovation. Tom is currently Sr Director of Cybersecurity at Target Corporation where he has spent the last eight years working to modernize, simplify, and extend Target’s IAM capabilities. Tom's mission is to find that perfect balance between Security and User Experience through technology, process optimization, and lots of empathy. A regular speaker, Tom enjoys talking about what's possible and value creation with anyone who will listen.",2089468 & 2089538,"Tuesday, May 28 & Wednesday, May 29",1:00 pm - 1:50 pm & 3:10 pm - 3:35 pm,Panel & Session,1099743,Jeff,Reich,https://identiverse.com/idv24/speaker/1099743/,Executive Director,Identity Defined Security Alliance,https://assets.swoogo.com/uploads/full/2417893-64075873aaa1b.jpg,https://www.linkedin.com/in/jreich/,,"Jeff Reich, CISSP, CRISC, ITIL, is the Executive Director of the Identity Defined Security Alliance (IDSA). Jeff has been actively involved in the security community for five decades and is a well-known advocate for cybersecurity awareness and education. He joined IDSA from the Cloud Security Alliance (CSA), where he was vice president of member success accountable for ensuring quality member benefits and value. Jeff started the security and risk programs at a number of companies including ARCO, Dell, Rackspace, CheckFree, and others. He has received numerous accolades and certifications as a cybersecurity expert and industry leader, including the ISSA Distinguished Fellow designation in 2015 and CISSP certification from ISC2.",2089468 & 2089541,"Tuesday, May 28 & Wednesday, May 29",1:00 pm - 1:50 pm & 4:00 pm - 4:25 pm,Panel & Session,1099744,Rajnish,Bhatia,https://identiverse.com/idv24/speaker/1099744/,VP - CyberSecurity,Comcast,https://assets.swoogo.com/uploads/medium/2417656-640750053ebab.jpeg,https://www.linkedin.com/in/rajnishbhatia19/,,"Passionate Cyber Security Leader with a track record of achievements in Risk reduction while enabling Businesses through Vision development, Technology delivery, Management of diverse Global teams, and Finance management. Proven ability to develop strategy and lead Transformational programs to meet strategic, operational, and regulatory requirements. Raj is a member of the Customer Advisory Boards of large-scale security products as well as a public speaker at various Cyber Security events and organizations.",2089468,"Tuesday, May 28",1:00 pm - 1:50 pm,Panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089475,https://identiverse.com/idv24/session/2089475/,enabling-a-trusted-ecosystem-for-the-us-pharmacy-supply-chain,Enabling a Trusted Ecosystem for the US Pharmacy Supply Chain,"The Drug Supply Chain Security Act (DCSCA) is a U.S. federal law enacted to enhance the security of the pharmaceutical supply chain. The National Association of the Boards of Pharmacy (NABP) is a 120-year-old non-profit professional organization that assists its member boards and jurisdictions in developing, implementing, and enforcing uniform standards to ensure patient safety. NABP has built and is deploying the Pulse network to enable users to engage in trusted transactions, such as the verification status of Authorized Trading Partners and serialized products within the US pharmacy supply chain.",Joshua 1,2:00 PM,2:50 PM,0:50:00,"Tuesday, May 28",Panel,,3,1101765,Mark,Karhoff,https://identiverse.com/idv24/speaker/1101765/,Principal,Ten Count Consulting,https://assets.swoogo.com/uploads/full/3568166-65cf8c495ccf9.jpeg,,,"Mark has 25 years of experience in program management, process improvement, supply chain solutions, as well as DSCSA (Drug Supply Chain Security Act) compliance.  Mark has served as a contracted pharmaceutical client representative with industry groups to establish standards and build alignment on solutions to meet the unfolding US Law.  Mark holds a B.S. in Business Administration: Transportation & Logistics from The Ohio State University.",2089475,"Tuesday, May 28",2:00 pm - 2:50 pm,Panel,1101775,Mr.,Michael Palage,https://identiverse.com/idv24/speaker/1101775/,Chief Trust Officer,InfoNetworks,https://assets.swoogo.com/uploads/full/3568206-65cf8de6b8f65.jpg,,,"Michael Palage is an attorney and an information technology consultant  As Chief Trust Officer at InfoNetworks, he has been designing and building out trusted ecosystems for the past 5 years. Mr. Palage is also active in various standard-setting bodies, ie. IETF, OIDF, and ToIP. Over the past two years, InfoNetworks has been working closely with the National Association of Boards of Pharmacy (NABP) in building out their Pulse network to enable compliance for the US pharmaceutical supply chain with the United States Drug Supply Chain Security Act (DSCSA).",2089475,"Tuesday, May 28",2:00 pm - 2:50 pm,Panel,1128152,Justin,Macy,https://identiverse.com/idv24/speaker/1128152/,Director of Innovation,National Association  of Boards of Pharmacy,https://assets.swoogo.com/uploads/full/3636512-65e5e9a7a250f.jpg,,,"Justin specializes in the intersection of law, technology, and healthcare with a focus on pharmacy practice and drug regulation. Recently, Justin has helped lead NABP’s DSCSA efforts to support regulators and trading partners by providing tools and education which enable implementation of DSCSA’s interoperability milestone. Historically, Justin has worked closely with NABP's Digital Health team. Prior to joining NABP, Justin was a specialist in Amazon’s Consumer Legal Department and Associate Director of Innovation for a tech start-up.",2089475,"Tuesday, May 28",2:00 pm - 2:50 pm,Panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
